Kode Saham;Nama Perusahaan;Open Price;Tertinggi;Terendah;Penutupan;Selisih;Volume;Nilai;Frekuensi;Offer;Offer Volume;Bid;Bid Volume;Listed Shares;Tradeble Shares
CHEM;Chemstar Indonesia Tbk.;98;99;95;96;-2;43795000;4222818600;4306;97;3393500;96;589000;1700014594;1700014594
CHIP;Pelita Teknologi Global Tbk.;0;1075;1045;1065;0;96300;101884500;190;1065;1600;1060;1300;806000000;806000000
CINT;Chitose Internasional Tbk.;204;204;198;204;0;134500;27185200;84;204;65100;202;5900;1000000000;1000000000
CITA;Cita Mineral Investindo Tbk.;4200;4230;4170;4180;-10;163300;684995000;184;4190;2100;4180;18900;3960361250;3960361250
CITY;Natura City Developments Tbk.;216;260;206;260;66;32028900;7754419800;7079;0;0;260;4381100;5405188966;5405188966
CLAY;Citra Putra Realty Tbk.;2550;2640;2530;2640;20;50300;130109000;76;2640;18200;2550;300;2570000000;520000000
CLEO;Sariguna Primatirta Tbk.;410;410;402;402;-4;5194200;2097883400;808;404;2500;402;359400;24000000000;24000000000
CLPI;Colorpak Indonesia Tbk.;1595;1600;1585;1590;0;101300;161323500;79;1595;48000;1590;2700;306338500;306338500
CMNP;Citra Marga Nusaphala Persada Tbk.;1410;1425;1395;1420;10;1081400;1524423000;68;1425;8300;1420;5200;6696354391;6696354391
CMNT;Cemindo Gemilang Tbk.;795;795;760;780;-15;10705800;8318517000;453;785;4000;780;92000;17125504000;17125504000
CMPP;AirAsia Indonesia Tbk.;0;81;81;81;0;40400;3272400;33;82;100;81;23200;10685124441;10685124441
CMRY;Cisarua Mountain Dairy Tbk.;4470;4500;4400;4480;10;2897100;12883876000;2459;4480;4600;4470;5100;7934683000;7934683000
CNKO;Exploitasi Energi Indonesia Tbk.;0;59;56;58;0;12222600;698197700;331;58;312700;57;2626700;8956361206;8956361206
CNMA;Nusantara Sejahtera Raya Tbk.;112;113;110;112;0;33531200;3754499700;2639;113;1394300;112;350300;83345000000;83345000000
CNTB;Saham Seri B ( Centex Tbk );0;0;0;250;0;0;0;0;0;0;0;0;130000000;130000000
CNTX;Century Textile Industry Tbk.;0;0;0;142;0;0;0;0;0;0;0;0;70000000;70000000
COAL;Black Diamond Resources Tbk.;57;59;55;58;1;112498000;6424903200;4268;59;15419100;58;2721100;6250000000;6250000000
COCO;Wahana Interfood Nusantara Tbk.;332;400;332;394;62;81318900;31002380000;5045;394;639000;392;8000;3559455924;3559455924
COIN;Indokripto Koin Semesta Tbk.;1280;1415;1225;1400;100;22231800;30417781500;6685;1405;167700;1400;459700;14705882400;14705882400
COWL;Cowell Development Tbk.;0;0;0;50;0;0;0;0;0;0;0;0;4871214021;4871214021
CPIN;Charoen Pokphand Indonesia Tbk;4340;4350;4310;4310;-90;3594800;15567614000;2834;4330;47700;4310;121600;16398000000;16398000000
CPRI;Capri Nusa Satu Properti Tbk.;0;0;0;50;0;0;0;0;0;0;0;0;2433379958;2433379958
CPRO;Central Proteina Prima Tbk.;54;56;54;55;0;46387600;2540730100;1260;55;117300;54;24562500;59572382787;59572382787
CRAB;Toba Surimi Industries Tbk.;218;218;212;216;-2;823600;176305400;119;216;208700;214;155900;1950000000;1950000000
CRSN;Carsurin Tbk.;106;108;103;106;0;545500;57150800;175;107;2300;106;21900;2892000000;2892000000
CSAP;Catur Sentosa Adiprana Tbk.;300;300;286;290;-6;1164100;335221600;52;290;5000;288;33100;5683175151;5683175151
CSIS;Cahayasakti Investindo Sukses Tbk.;171;190;160;179;16;10653200;1851023000;1987;179;185400;178;35400;1829800000;1829800000
CSMI;Cipta Selera Murni Tbk.;75;79;75;77;-1;2283700;175471900;389;78;176400;77;28600;816061500;816061500
CSRA;Cisadane Sawit Raya Tbk.;915;925;910;920;5;587600;539203500;253;925;2500;920;23200;2050000000;2050000000
CTBN;Citra Tubindo Tbk.;6450;6450;5500;5775;350;36600;218945000;147;5775;400;5550;400;800371500;800371500
CTRA;Ciputra Development Tbk.;730;735;715;720;-15;11890000;8615237000;2416;730;520500;720;917500;18535695255;18535695255
CTTH;Citatah Tbk.;84;84;80;82;-1;8795300;718393100;1055;82;165800;81;220000;1230839821;1230839821
CUAN;Petrindo Jaya Kreasi Tbk.;1335;1465;1320;1430;85;655344100;9,29132E+11;46826;1430;662400;1425;578700;1,12419E+11;1,12419E+11
CYBR;ITSEC Asia Tbk.;1480;1480;1410;1425;-70;16184900;23187027500;2916;1425;8700;1420;110800;6720239297;6720239297
DAAZ;Daaz Bara Lestari Tbk.;2490;2750;2380;2650;180;1923900;5030995000;1248;2650;151000;2640;2100;1997000000;1997000000
DADA;Diamond Citra Propertindo Tbk.;50;50;50;50;0;1373600;68680000;313;50;322480800;0;0;7431530800;7431530800
DART;Duta Anggada Realty Tbk.;144;150;143;148;1;25100;3647100;33;149;16700;148;5100;3141390962;3141390962
DATA;Remala Abadi Tbk.;1980;2470;1900;2470;490;26935500;62478705500;11235;0;0;2470;2252500;1375000000;1375000000
DAYA;Duta Intidaya Tbk.;1015;1030;990;1025;5;25200;25495500;43;1020;1400;1005;100;2420547025;2420547025
DCII;DCI Indonesia Tbk.;0;201825;201300;201300;-525;300;60452500;3;201250;100;200000;300;2383745900;2383745900
DEAL;Dewata Freightinternational Tbk.;0;0;0;6;0;0;0;0;0;0;0;0;1146170959;1146170959
DEFI;Danasupra Erapacific Tbk.;50;52;50;50;0;22553100;1131834400;2096;50;597300;0;0;687266666;687266666
DEPO;Caturkarda Depo Bangunan Tbk.;214;214;210;214;2;66100;14015200;36;214;61300;212;34400;6790000000;6790000000
DEWA;Darma Henwa Tbk;500;530;500;525;10;749143500;3,89384E+11;31702;525;13988200;520;3213900;40687434244;40687434244
DEWI;Dewi Shri Farmindo Tbk.;128;131;125;129;0;48019200;6139322500;6537;129;851300;127;297200;2000000000;2000000000
DFAM;Dafam Property Indonesia Tbk.;94;130;94;130;33;235913500;27747595500;11943;0;0;130;59722300;1899852850;1899852850
DGIK;Nusa Konstruksi Enjiniring Tbk.;129;135;126;133;4;5457300;718030900;544;133;54200;132;82100;5541165000;5541165000
DGNS;Diagnos Laboratorium Utama Tbk.;304;304;286;294;2;215200;62680800;106;296;6900;294;41500;1250000000;1250000000
DGWG;Delta Giri Wacana Tbk.;392;392;378;386;-6;10768100;4150568400;1947;386;117800;384;128200;5882353000;5882353000
DIGI;Arkadia Digital Media Tbk.;0;34;31;31;-3;2835200;88405400;123;31;401200;0;0;1625000000;1625000000
DILD;Intiland Development Tbk.;125;129;123;126;1;31197900;3930577100;1603;126;1209600;125;1238100;10365854185;10365854185
DIVA;Distribusi Voucher Nusantara Tbk.;165;176;164;169;-22;47308000;7991330800;5136;169;201600;168;705600;1428571400;1428571400
DKFT;Central Omega Resources Tbk.;710;710;695;710;0;4802500;3379134000;755;710;8000;705;14200;5638246600;5638246600
DKHH;Cipta Sarana Medika Tbk.;70;70;68;69;0;4316700;297709600;495;70;2372100;69;807300;2550154872;2550154872
DLTA;Delta Djakarta Tbk.;2010;2030;1975;1995;-5;36800;73699500;55;2000;10000;1995;2700;800659050;800659050
DMAS;Puradelta Lestari Tbk.;133;136;133;135;2;35109100;4714244500;2322;135;9962100;134;2428300;48198111100;48198111100
DMMX;Digital Mediatama Maxima Tbk.;208;220;208;218;8;8287700;1742647400;246;218;29900;216;14900;7692307700;7692307700
DMND;Diamond Food Indonesia Tbk.;630;650;630;645;5;79400;50664500;59;645;400;630;4800;9468359000;9468359000
DNAR;Bank Oke Indonesia Tbk.;134;137;131;134;0;1639800;219558900;260;135;30000;134;69300;16721891185;16721891185
DNET;Indoritel Makmur Internasional Tbk.;9075;9225;9075;9225;25;6700;61727500;14;9225;100;9100;400;14184000000;14184000000
DOID;BUMA Internasional Grup Tbk.;254;258;254;256;0;2637300;673492800;451;256;2146600;254;998400;7651007132;7651007132
DOOH;Era Media Sejahtera Tbk.;135;148;132;145;5;54608900;7749870000;2997;146;452300;145;27500;7738891036;7738891036
DOSS;Global Sukses Digital Tbk.;160;172;155;163;3;3882900;637370600;730;164;43100;163;44800;1725000000;1725000000
DPNS;Duta Pertiwi Nusantara Tbk.;0;0;0;310;0;0;0;0;0;0;0;0;331129952;331129952
DPUM;Dua Putra Utama Makmur Tbk.;124;151;115;140;15;45344500;6080403900;3367;141;20200;140;75900;4175000000;4175000000
DRMA;Dharma Polimetal Tbk.;1000;1010;990;1005;-5;1127100;1131105500;341;1010;137800;1005;16000;4705882300;4705882300
DSFI;Dharma Samudera Fishing Industries Tbk.;93;98;91;96;3;8157600;777868300;904;96;251300;95;137900;1857135500;1857135500
DSNG;Dharma Satya Nusantara Tbk.;1660;1785;1655;1720;60;36639300;63426891500;8154;1755;57000;1720;513300;10599842400;10599842400
DSSA;Dian Swastatika Sentosa Tbk;3110;3170;2900;3160;50;91733800;2,81326E+11;17088;3160;10300;3150;1700;1,92638E+11;1,92638E+11
DUCK;Jaya Bersama Indo Tbk.;0;0;0;176;0;0;0;0;0;0;0;0;1283330000;1283330000
DUTI;Duta Pertiwi Tbk;0;4210;4200;4200;40;400;1681000;2;4200;100;4070;100;1850000000;1850000000
DVLA;Darya-Varia Laboratoria Tbk.;1600;1605;1595;1600;0;3700;5909000;20;1605;100;1595;2300;1120000000;1120000000
DWGL;Dwi Guna Laksana Tbk.;250;250;244;250;0;483000;119609400;143;250;7300;248;45000;9252820991;9252820991
DYAN;Dyandra Media International Tbk.;80;81;79;81;1;893000;71492000;93;81;130500;80;87800;4272964279;4272964279
EAST;Eastparc Hotel Tbk.;91;91;89;90;-1;1933700;173484000;367;91;1141000;90;10500;4126405336;4126405336
ECII;Electronic City Indonesia Tbk.;0;176;171;172;-3;697200;120715400;301;173;200;172;1800;1334333000;1334333000
EDGE;Indointernet Tbk.;0;0;0;4790;0;0;0;0;0;0;0;0;2020250000;2020250000
EKAD;Ekadharma International Tbk.;181;182;177;180;0;728100;129980000;177;180;82400;179;5500;3493875000;3493875000
ELIT;Data Sinergitama Jaya Tbk.;218;234;210;220;2;16390200;3664538200;1976;220;150800;218;305800;2031643057;561432633
ELPI;Pelayaran Nasional Ekalya Purnamasari Tbk.;1860;1860;1700;1770;-95;1859600;3298959500;1359;1775;4000;1770;145400;7412000000;7412000000
ELSA;Elnusa Tbk.;705;725;700;715;25;87017500;62019398000;9750;720;687000;715;930900;7298500000;7298500000
ELTY;Bakrieland Development Tbk.;0;39;38;38;-2;158281900;6086954300;2638;39;11385100;38;18102100;43521913019;43521913019
EMAS;Merdeka Gold Resources Tbk.;8100;8200;7900;7975;-150;28759200;2,30102E+11;10441;8000;1200;7975;688300;14731366060;7350951663
EMDE;Megapolitan Developments Tbk.;75;75;71;74;0;4922400;360460300;576;74;234800;73;29800;3350000000;3350000000
EMTK;Elang Mahkota Teknologi Tbk.;875;925;875;925;50;124626200;1,13689E+11;11838;925;6011900;920;13400;61426451483;61426451483
ENAK;Champ Resto Indonesia Tbk.;0;384;370;382;0;22800;8683800;47;382;700;376;3700;2166666800;2166666800
ENRG;Energi Mega Persada Tbk.;1750;1940;1720;1835;130;365454900;6,70174E+11;57704;1850;23900;1835;4356600;26346230250;26346230250
ENVY;Envy Technologies Indonesia Tbk.;0;0;0;50;0;0;0;0;0;0;0;0;1800000000;1800000000
ENZO;Morenzo Abadi Perkasa Tbk.;57;61;57;60;1;6584200;388163200;341;60;92300;58;2877500;2162547122;2162547122
EPAC;Megalestari Epack Sentosaraya Tbk.;0;60;60;60;5;26207100;1572426000;312;60;4670900;59;1400;3303400000;3303400000
EPMT;Enseval Putera Megatrading Tbk.;2340;2360;2320;2360;20;84700;198521000;40;2370;1100;2360;1600;2708640000;2708640000
ERAA;Erajaya Swasembada Tbk.;382;392;380;388;0;37003400;14287673600;2395;390;238500;388;300100;15950000000;15950000000
ERAL;Sinar Eka Selaras Tbk.;304;320;300;314;8;11380900;3528179800;1419;314;36100;312;1618200;5187500000;5187500000
ERTX;Eratex Djaja Tbk.;216;218;208;216;6;606100;128201600;245;216;33800;214;2500;1286539792;1286539792
ESIP;Sinergi Inti Plastindo Tbk.;106;116;105;111;9;475910400;52338271900;25138;112;5652400;111;928300;1109953847;1109953847
ESSA;ESSA Industries Indonesia Tbk.;740;780;730;765;35;126120500;95621498500;10219;765;714900;760;86400;17226975700;17226975700
ESTA;Esta Multi Usaha Tbk.;194;210;183;198;4;1482000;296789600;400;198;11300;197;100;2425354179;2425354179
ESTI;Ever Shine Tex Tbk.;178;185;178;179;-1;16312400;2940630200;1628;180;600;178;253700;2015208720;2015208720
ETWA;Eterindo Wahanatama Tbk;0;0;0;70;0;0;0;0;0;0;0;0;4668671400;4668671400
EURO;Estee Gold Feet Tbk.;0;2690;2550;2660;-10;1107400;2917038000;404;2680;10100;2660;88600;2548826428;2548826428
EXCL;XLSMART Telecom Sejahtera Tbk.;3080;3170;3080;3110;-50;8868800;27646163000;4657;3110;422800;3100;130200;18199862451;18199862451
FAPA;FAP Agri Tbk.;0;6825;6775;6825;25;10000;68027500;17;6825;19200;6800;1600;3629411800;3629411800
FAST;Fast Food Indonesia Tbk.;320;338;300;328;8;3212100;1038068800;871;330;114400;328;7000;4523610492;4523610492
FASW;Fajar Surya Wisesa Tbk.;0;0;0;5275;0;0;0;0;0;0;0;0;3221255423;3221255423
FILM;MD Entertainment Tbk.;2500;3030;2410;2990;490;15509900;43755644000;12172;2990;52300;2980;19400;10887566758;10887566758
FIMP;Fimperkasa Utama Tbk.;0;0;0;69;0;0;0;0;0;0;0;0;400000975;400000975
FIRE;Alfa Energi Investama Tbk.;152;155;145;153;1;7987200;1211164100;1220;154;83600;153;20000;1475363179;1475363179
FISH;FKS Multi Agro Tbk.;745;745;730;740;5;34200;25221000;65;740;14200;735;1900;4800000000;4800000000
FITT;Hotel Fitra International Tbk.;342;404;306;372;30;11198300;4094520800;5066;372;207500;370;500;1304272051;1080272051
FLMC;Falmaco Nonwoven Industri Tbk.;0;150;137;141;-4;473000;66521700;132;142;90100;141;3100;781250000;781250000
FMII;Fortune Mate Indonesia Tbk;222;240;220;220;8;308500;69248000;141;224;3000;220;99700;6400000000;6400000000
FOLK;Multi Garam Utama Tbk.;352;400;344;380;22;8529700;3238701000;1337;384;10800;380;600000;4091357544;4091357544
FOOD;Sentra Food Indonesia Tbk.;0;200;198;200;2;24800;4957200;14;200;54900;195;1500;650000000;650000000
FORE;Fore Kopi Indonesia Tbk.;865;1045;860;980;125;112050200;1,10086E+11;30091;985;37900;980;578800;8918359270;1880000000
FORU;Fortune Indonesia Tbk;0;1210;1120;1130;-15;295900;339487500;145;1175;1800;1130;100;465224000;465224000
FPNI;Lotte Chemical Titan Tbk.;460;470;450;460;0;5393000;2482709800;1343;462;12800;460;85000;5566414000;5566414000
FUJI;Fuji Finance Indonesia Tbk.;404;404;388;390;-14;6783000;2672481800;234;392;3800;390;200;1300000000;1300000000
FUTR;Futura Energi Global Tbk.;260;282;256;274;6;27050500;7402246800;2735;276;85000;274;60900;6635551959;6635551959
FWCT;Wijaya Cahaya Timber Tbk.;98;99;96;97;-1;4720000;457245000;792;98;523700;97;1386300;1963000000;1963000000
GAMA;Aksara Global Development Tbk.;0;0;0;18;0;0;0;0;0;0;0;0;10011027656;10011027656
GDST;Gunawan Dianjaya Steel Tbk.;98;102;98;101;1;1471900;146703000;178;101;76800;100;13800;9242500000;9242500000
GDYR;Goodyear Indonesia Tbk.;1140;1150;1130;1130;0;98900;112941500;38;1155;13200;1125;21000;410000000;410000000
GEMA;Gema Grahasarana Tbk.;87;89;86;88;0;2736100;238933000;361;89;476100;88;539100;1600000000;1600000000
GEMS;Golden Energy Mines Tbk.;8400;8525;8375;8425;25;79300;669070000;171;8425;4200;8400;300;5882353000;5882353000
GGRM;Gudang Garam Tbk.;14250;14500;14200;14200;-400;476600;6796147500;891;14200;600;14175;9300;1924088000;1924088000
GGRP;Gunung Raja Paksi Tbk.;288;296;286;290;0;510900;148116400;95;292;49200;290;28800;12111376157;12111376157
GHON;Gihon Telekomunikasi Indonesia Tbk.;1800;1805;1790;1800;0;10400;18730500;20;1800;7500;1765;100;550000000;550000000
GIAA;Garuda Indonesia (Persero) Tbk.;70;73;68;69;-1;174071400;12239532700;4151;70;395000;69;24901500;4,07092E+11;4,07092E+11
GJTL;Gajah Tunggal Tbk.;1090;1125;1090;1115;-15;5631100;6264889500;1078;1115;10800;1110;45600;3484800000;3484800000
GLOB;Globe Kita Terang Tbk.;0;0;0;155;0;0;0;0;0;0;0;0;1111112000;1111112000
GLVA;Galva Technologies Tbk.;324;358;322;340;14;161000;53183000;112;340;1500;326;3400;1500000000;1500000000
GMFI;Garuda Maintenance Facility Aero Asia Tbk.;60;65;59;64;4;171141100;10737547000;4521;64;3705600;63;1371300;1,24835E+11;1,24835E+11
GMTD;Gowa Makassar Tourism Development Tbk.;1565;1595;1450;1520;-45;2600;4013500;12;1550;500;1520;200;1015380000;1015380000
GOLD;Visi Telekomunikasi Infrastruktur Tbk.;0;290;280;284;-4;31500;9034600;14;290;27900;284;1800;1277276000;1277276000
GOLF;Intra Golflink Resorts Tbk.;200;206;196;204;4;10643800;2150916800;962;206;391800;204;110600;19486760000;1950000000
GOLL;Golden Plantation Tbk.;0;0;0;50;0;0;0;0;0;0;0;0;3665000759;3665000759
GOOD;Garudafood Putra Putri Jaya Tbk.;362;362;346;354;6;311400;111212400;170;354;103500;352;2200;36897901455;36897901455
GOTO;GoTo Gojek Tokopedia Tbk.;52;53;51;52;0;4235010800;2,20432E+11;12142;53;815974300;52;931339400;1,14057E+12;1,14057E+12
GOTOM;MVS GoTo Gojek Tokopedia Tbk.;0;0;0;68;0;0;0;0;0;0;0;0;50571730000;50571730000
GPRA;Perdana Gapuraprima Tbk.;107;114;105;111;4;42345000;4695815900;2382;112;296600;111;285400;4276655336;4276655336
GPSO;Geoprima Solusi Tbk.;0;318;302;306;-10;12534400;3878925600;617;310;16500;306;117300;666741103;666741103
GRIA;Ingria Pratama Capitalindo Tbk.;99;103;98;100;0;237600;23617200;72;101;84200;100;51800;7375720674;4201200000
GRPH;Griptha Putra Persada Tbk.;55;57;54;56;1;7820500;435394500;456;56;200;55;1359300;1000000000;996000000
GRPM;Graha Prima Mentari Tbk.;0;358;324;350;24;5018500;1739876200;1148;350;24300;348;600;1548088404;1548088404
GSMF;Equity Development Investment Tbk.;111;113;108;110;0;29065300;3216462700;2141;111;436200;110;1535200;14230399705;14230399705
GTBO;Garda Tujuh Buana Tbk;218;230;214;216;-2;57100;12445200;51;218;276100;216;1900;2500000000;2500000000
GTRA;Grahaprima Suksesmandiri Tbk.;246;246;236;246;-2;475600;114631600;195;246;38500;244;4200;1894375000;1894375000
GTSI;GTS Internasional Tbk.;246;268;238;260;8;69562000;17809892000;6238;260;533800;258;669100;15819142767;15819142767
GULA;Aman Agrindo Tbk.;326;350;318;334;10;8824900;2987969400;1310;334;57500;332;33200;1070362500;1070362500
GUNA;Gunanusa Eramandiri Tbk.;218;224;214;222;-2;295100;64520200;71;224;29300;220;1500;2500000000;500000000
GWSA;Greenwood Sejahtera Tbk.;150;151;147;148;-2;355800;52933800;147;149;184800;148;153900;7800760000;7800760000
GZCO;Gozco Plantations Tbk.;202;226;200;226;24;136527800;29691895000;10253;228;1955100;226;2656400;6000000000;6000000000
HADE;Himalaya Energi Perkasa Tbk.;0;20;20;20;0;7800200;156004000;223;20;8087400;19;1061900;2120000000;2120000000
HAIS;Hasnur Internasional Shipping Tbk.;198;199;195;197;-1;2114200;415566900;578;197;137800;196;62300;2626250000;2620231500
HAJJ;Arsy Buana Travelindo Tbk.;0;135;129;135;4;8138600;1082906200;605;135;206900;134;68300;2468527572;2468527572
HALO;Haloni Jane Tbk.;69;70;67;69;1;1850100;126498500;311;69;301100;68;196000;6078729117;6078729117
HATM;Habco Trans Maritima Tbk.;298;310;298;308;0;16413400;5039937600;2236;308;32900;306;228900;8680000000;8677101900
HBAT;Minahasa Membangun Hebat Tbk.;0;310;292;302;-2;273800;82222600;91;308;15300;300;700;1040740800;1040740800
HDFA;Radana Bhaskara Finance Tbk.;113;114;106;112;2;2837100;312861300;558;112;76700;110;91800;6542445783;6542445783
HDIT;Hensel Davest Indonesia Tbk.;59;63;58;61;3;27556100;1668140900;1666;61;621300;60;2079100;1524680000;1524680000
HEAL;Medikaloka Hermina Tbk.;1205;1220;1175;1220;0;16900200;20312922500;3422;1220;552900;1215;100;15365950000;15365950000
HELI;Jaya Trishindo Tbk.;194;228;193;204;10;2399600;504475200;713;204;33000;202;500;832862387;832862387
HERO;DFI Retail Nusantara Tbk.;0;402;392;400;-4;49800;19780400;51;400;6300;396;500;4183634000;4183634000
HEXA;Hexindo Adiperkasa Tbk.;4500;4520;4500;4510;10;368800;1661132000;260;4510;19900;4500;60200;840000000;840000000
HGII;Hero Global Investment Tbk.;141;147;139;144;3;1746200;251042200;297;144;645300;143;142200;6500000000;6500000000
HILL;Hillcon Tbk.;0;21;20;21;-1;180129700;3673110500;3219;22;12424700;21;1486500;14741500000;14741500000
HITS;Humpuss Intermoda Transportasi Tbk.;0;0;0;116;0;0;0;0;0;0;0;0;7101084801;7101084801
HKMU;HK Metals Utama Tbk.;0;0;0;50;0;0;0;0;0;0;0;0;3221750000;3221750000
HMSP;H.M. Sampoerna Tbk.;755;755;745;755;0;7737300;5811392000;1201;755;545000;750;1070700;1,16318E+11;1,16318E+11
HOKI;Buyung Poetra Sembada Tbk.;66;67;65;67;1;5625000;373364900;563;67;9884600;66;3184100;9677752680;9677752680
HOME;Hotel Mandarine Regency Tbk.;0;0;0;50;0;0;0;0;0;0;0;0;22212194782;22212194782
HOMI;Grand House Mulia Tbk.;252;262;240;256;4;3020700;756466800;208;256;3600;254;11800;1575000000;1575000000
HOPE;Harapan Duta Pertiwi Tbk.;250;256;234;250;0;4462200;1095369800;391;250;58800;248;12800;2130360203;2130360203
HOTL;Saraswati Griya Lestari Tbk.;0;0;0;50;0;0;0;0;0;0;0;0;3550001452;3550001452
HRME;Menteng Heritage Realty Tbk.;0;45;45;45;0;2270100;102154500;60;46;187000;45;3571900;5958750000;5958750000
HRTA;Hartadinata Abadi Tbk.;2500;2540;2450;2480;-50;9735200;24265419000;4013;2490;53000;2480;416900;4605262400;4605262400
HRUM;Harum Energy Tbk.;995;1000;975;985;-5;11914000;11746087000;2529;990;333200;985;567500;13518100000;13518100000
HUMI;Humpuss Maritim Internasional Tbk.;200;216;196;206;4;174592800;36057077600;10499;208;1481200;206;1573600;18062568977;18062568977
HYGN;Ecocare Indo Pasifik Tbk.;143;143;140;142;-2;748700;105517900;154;142;400;141;3600;2525000000;2525000000
IATA;MNC Energy Investments Tbk.;81;84;78;81;1;224684800;18309470500;11623;82;6091000;81;65200;31275829981;31275829981
IBFN;Intan Baru Prana Tbk.;0;66;66;66;6;892900;58931400;67;0;0;66;5299300;1517332349;1517332349
IBOS;Indo Boga Sukses Tbk.;0;129;115;119;-3;14583200;1768842800;1341;120;5700;119;53100;8065789529;8065789529
IBST;Inti Bangun Sejahtera Tbk.;0;6400;6300;6400;575;1100;6980000;5;0;0;6400;100;1350904927;1350904927
ICBP;Indofood CBP Sukses Makmur Tbk.;7375;7375;7200;7225;-150;5113800;37091062500;3852;7250;59400;7225;24600;11661908000;11661908000
ICON;Island Concepts Indonesia Tbk.;104;113;104;108;4;25858300;2813293300;2566;109;568300;108;111700;1089750000;1089750000
IDEA;Idea Indonesia Akademi Tbk.;0;67;64;67;1;11676400;766772900;851;67;1362500;66;548700;1062437500;1062437500
IDPR;Indonesia Pondasi Raya Tbk.;0;308;300;308;4;131800;40074800;37;308;95100;306;26000;2003000000;2003000000
IFII;Indonesia Fibreboard Industry Tbk.;226;226;220;220;-6;53700;11944800;75;226;1000;220;12900;9412000000;9412000000
IFSH;Ifishdeco Tbk.;3000;3020;2790;2930;-100;237400;690402000;486;2930;4200;2900;2000;2125000000;2125000000
IGAR;Champion Pacific Indonesia Tbk.;480;486;478;482;2;49800;23818800;30;482;24900;478;3200;927780600;927780600
IIKP;Inti Agri Resources Tbk;0;0;0;50;0;0;0;0;0;0;0;0;33600000000;33600000000
IKAI;Intikeramik Alamasri Industri Tbk.;0;22;21;21;-2;51807100;1105528300;590;22;8695000;21;2667700;13305799387;13305799387
IKAN;Era Mandiri Cemerlang Tbk.;92;109;90;101;9;155238300;16016839500;9067;101;1024300;100;2213200;833333000;833333000
IKBI;Sumi Indo Kabel Tbk.;550;550;545;545;-5;39400;21481000;21;550;7100;545;800;1224000000;1224000000
IKPM;Ikapharmindo Putramas Tbk.;0;216;208;212;-4;94500;20144800;38;212;13700;210;4300;1684662500;1684662500
IMAS;Indomobil Sukses Internasional Tbk.;0;1030;995;1005;-10;41300;41661000;43;1030;18700;1005;9000;3994291039;3994291039
IMJS;Indomobil Multi Jasa Tbk.;161;163;159;162;0;4023900;649141300;631;163;297800;162;115200;10849262500;10849262500
IMPC;Impack Pratama Industri Tbk.;2230;2430;2190;2370;120;48980100;1,14886E+11;9419;2380;67500;2370;20000;54907000000;54907000000
INAF;Indofarma Tbk.;0;0;0;126;0;0;0;0;0;0;0;0;3099267500;3099267500
INAI;Indal Aluminium Industry Tbk.;190;191;188;189;-1;1147600;217074400;280;190;153000;188;43600;633600000;633600000
INCF;Indo Komoditi Korpora Tbk.;50;52;50;52;2;9685700;494232600;1144;52;1160200;51;4321600;1438370465;1438370465
INCI;Intanwijaya Internasional Tbk;700;715;685;710;10;145500;101669000;44;710;8800;700;600;207656617;207656617
INCO;Vale Indonesia Tbk.;6000;6225;5950;6150;0;16447500;1,0063E+11;8846;6175;47700;6150;64700;10539784534;10539784534
INDF;Indofood Sukses Makmur Tbk.;6700;6750;6625;6750;50;11177700;75194627500;5681;6750;24700;6700;84100;8780426500;8780426500
INDO;Royalindo Investa Wijaya Tbk.;161;171;159;168;3;36473800;6049267300;1708;168;27600;167;3000;4480741638;4480741638
INDR;Indo-Rama Synthetics Tbk.;2990;3000;2810;2930;-60;165800;479866000;114;2930;700;2910;400;654351707;654351707
INDS;Indospring Tbk.;372;390;370;386;8;13803500;5298297600;2632;388;74900;386;26500;6562497100;6562497100
INDX;Tanah Laut Tbk;94;100;94;97;1;3261800;318499400;369;98;55900;97;158400;437913588;437913588
INDY;Indika Energy Tbk.;3710;3790;3630;3790;90;14790600;55247276000;3550;3790;3898600;3690;2000;5210192000;5210192000
INET;Sinergi Inti Andalan Prima Tbk.;274;314;274;306;22;478207000;1,43033E+11;30313;306;7640000;304;12713100;22374111088;22374111088
INKP;Indah Kiat Pulp & Paper Tbk.;9700;9775;9525;9675;-50;3888600;37480937500;3779;9700;22400;9675;115200;5470982941;5470982941
INOV;Inocycle Technology Group Tbk.;139;144;138;139;0;1575000;219200300;283;140;2700;139;9100;1808221900;1808221900
INPC;Bank Artha Graha Internasional Tbk.;162;167;158;166;3;13135100;2149082200;1125;166;20000;165;95800;20021178779;20021178779
INPP;Indonesian Paradise Property Tbk.;0;785;770;785;-10;300;234000;3;785;22100;770;100;11181971732;11181971732
INPS;Indah Prakasa Sentosa Tbk.;0;540;468;540;40;66600;35049600;35;540;67300;500;2900;650000000;650000000
INRU;Toba Pulp Lestari Tbk.;0;0;0;590;0;0;0;0;0;0;0;0;1388883283;1388883283
INTA;Intraco Penta Tbk.;0;66;65;66;6;690200;45285700;61;0;0;66;26153000;3343935022;3343935022
INTD;Inter Delta Tbk;262;280;250;262;12;2107900;556091400;247;262;49000;260;1231200;591828000;591828000
INTP;Indocement Tunggal Prakarsa Tbk.;5275;5500;5250;5300;0;2669400;14238115000;1320;5325;2000;5300;200;3515602799;3515602799
IOTF;Sumber Sinergi Makmur Tbk.;63;64;62;63;0;7880900;499088800;557;64;920900;63;2613300;5290298067;5290298067
